"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"5761","FAMPOZA","Fia Ampoza","","AMPOZA,AMPOZO","NASO ANNULATUS, NASO VLAMINGII, NASO BREVIROSTRIS, ACANTHURUS GUTTATUS, NASO HEXACANTHUS, NASO FAGENI, NASO TUBEROSUS, NASO BRANCHYCENTRON, NASO FAGANI, ACANTURUS GUTTATUS","AMPOZA,AMPOZO"
"5762","FVORRAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5763","FVAREVIKE"," Varevike","","",""," Varevike"
"5764","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5765","FANGELIKE","Fia Angelike","Sky emperor","ANGELEKE,ANGELIKE","LETHRINUS MAHSENA, LETHRINUS LENTJAN, LETHEINUS MAHSENA, LETHEINUS LENTJAN, LETHRINUS MASHENA","ANGELEKE,ANGELIKE"
"5766","FLANORA","Fia Lanora","Yellowspotted or giant trevally/ caragoides fulvoguttatus or Caranx ignobilis","LANORA","CARANX PAPUENSIS, CARANX MELAMPYGUS, CARANX IGNOBILIS, CARANGOIDES FULVOGUTTATUS, CARANGOIDES FERDAU, CARANX IGNOBILIS<A0>","LANORA"
"5767","FTSORABY","","","","",""
"5768","FVORRAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5769","FVAREVIKE"," Varevike","","",""," Varevike"
"5770","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5771","FVAREVIKE"," Varevike","","",""," Varevike"
"5772","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5773","FVAREVIKE"," Varevike","","",""," Varevike"
"5774","FAMPOZA","Fia Ampoza","","AMPOZA,AMPOZO","NASO ANNULATUS, NASO VLAMINGII, NASO BREVIROSTRIS, ACANTHURUS GUTTATUS, NASO HEXACANTHUS, NASO FAGENI, NASO TUBEROSUS, NASO BRANCHYCENTRON, NASO FAGANI, ACANTURUS GUTTATUS","AMPOZA,AMPOZO"
"5775","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5776","H","Horita","Octopus","","","Horita"
"5777","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5778","FVAREVIKE"," Varevike","","",""," Varevike"
"5779","H","Horita","Octopus","","","Horita"
"5780","FVALALA","Valalataitse","","","","Valalataitse"
"5781","FBABAKE","","","","",""
"5782","H","Horita","Octopus","","","Horita"
"5783","FMENA BEMASO","Fia Mena","Squirrelfish, Holocentrinae","","","Fia Mena"
"5784","H","Horita","Octopus","","","Horita"
"5785","H","Horita","Octopus","","","Horita"
"5786","BOZ IKE","Bozike","Chicoreus ramosus","","","Bozike"
"5787","H","Horita","Octopus","","","Horita"
"5788","H","Horita","Octopus","","","Horita"
"5789","FSAVESAVE","Savisavy","Fish","","","Savisavy"
"5790","FVAREVIKE"," Varevike","","",""," Varevike"
"5791","FVAREVIKE"," Varevike","","",""," Varevike"
"5792","FVAREVIKE"," Varevike","","",""," Varevike"
"5793","H","Horita","Octopus","","","Horita"
"5794","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5795","H","Horita","Octopus","","","Horita"
"5796","H","Horita","Octopus","","","Horita"
"5797","H","Horita","Octopus","","","Horita"
"5798","H","Horita","Octopus","","","Horita"
"5799","FTOHO","Fia Toho","Duckbill sleeper or freshwater goby or speckled goby/ Butis butis or awaous aeneofuscus or redigobius bikolanus","","","Fia Toho"
"5800","FTSOY","Fia Tsoy","Mulloides auriflamma","TSOY","MULLOIDICHTHYS FLAVOLINEATUS, MULLOIDICHTHYS VANICAULEUSIS","TSOY"
"5801","H","Horita","Octopus","","","Horita"
"5802","H","Horita","Octopus","","","Horita"
"5803","",NA,NA,NA,NA,NA
"5804","H","Horita","Octopus","","","Horita"
"5805","FANGERERA","Fia Angerera","Blackspotted rubberlip or Painted sweetlips/ Plectorhinchus gaterinus or diagramma pictum","","","Fia Angerera"
"5806","H","Horita","Octopus","","","Horita"
"5807","H","Horita","Octopus","","","Horita"
"5808","H","Horita","Octopus","","","Horita"
"5809","H","Horita","Octopus","","","Horita"
"5810","H","Horita","Octopus","","","Horita"
"5811","H","Horita","Octopus","","","Horita"
"5812","H","Horita","Octopus","","","Horita"
"5813","H","Horita","Octopus","","","Horita"
"5814","H","Horita","Octopus","","","Horita"
