"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"2958","TABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"2959","HORITA","Horita","Octopus","","","Horita"
"2960","HORITA","Horita","Octopus","","","Horita"
"2961","HORITA","Horita","Octopus","","","Horita"
"2962","HORITA","Horita","Octopus","","","Horita"
"2963","HORITA","Horita","Octopus","","","Horita"
"2964","HORITA","Horita","Octopus","","","Horita"
"2965","ANGY","","Fish","ANGY","SIGNANUS CARALLINUS, CTENOCHAETUS TRUNCATUS, ACANTHURUS THOMPSONI, ACANTHURUS LEUCOSTERNON, CTENOCHAETUS BINOTATUS, ACANTHURUS NIGROFUSCUS, ACANTHURUS MATA, ACANTHURUS XANTHOPTERUS, ACANTHURUS NIGRICAUDA, ACANTHURUS TENNENTI, SIGANUS CORALLINUS, CTENOSCHRETUS STUATUS","ANGY"
"2966","TABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"2967","FIAGAMO","Gamo","","GAMO,GAMO MANDRITSIAMINTSALOTSE,GAMOPAREABAVA","ETELIS CARBUNCULUS, PRISTIPOMOIDES FILAMENTOSUS, ETEIS CARBUNCULU","GAMO,GAMO MANDRITSIAMINTSALOTSE,GAMOPAREABAVA"
"2968","VORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"2969","FIANAKANGA","Fianakanga","","LOVOHARANAKANGA","EPINEPHELUS FUSCOGUTTATUS, CEPHALOPHOLIS SEXMACULATA, CEPHALOPHOLIS MINIATA, ANYPERADON LEUCOGRAMMICUS, EPINEPHELUS CAERULEOPUNCTATUS, EPINEPHELUS FASCIATUS, PLECTROPOMUS PUNCTATUS, CEPHALOPHOLIS URODETA, CEPHALOPHOLIS SONNERATI, PLECTROPOMUS LAEVIS, EPINEPHELUS MULTINOTATUS, PLECTORHINCHUS ALBOVITTATUS, ANYPERODON LEUCOGRAMMICUS, CEPHALOPHOLIS SONNERATI<A0>, PLECTOPOMUS PUNCTATUS, PLECTOPOMUS LAEVIS, PLECTORHINCHUS ALBOVITATUS","LOVOHARANAKANGA"
"2970","TABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"2971","FIAGAMO","Gamo","","GAMO,GAMO MANDRITSIAMINTSALOTSE,GAMOPAREABAVA","ETELIS CARBUNCULUS, PRISTIPOMOIDES FILAMENTOSUS, ETEIS CARBUNCULU","GAMO,GAMO MANDRITSIAMINTSALOTSE,GAMOPAREABAVA"
"2972","VORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"2973","TSOIKE","","","","",""
"2974","JAKAKE","Jakake","Crab","","","Jakake"
"2975","JAKAKE","Jakake","Crab","","","Jakake"
"2976","TSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"2977","TSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"2978","JAKAKE","Jakake","Crab","","","Jakake"
"2979","HORITA AKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"2980","ANGISY","Angisy","Squid","","","Angisy"
"2981","ANGISY","Angisy","Squid","","","Angisy"
"2982","TAPAPOROHA","Tapaporaha","","","","Tapaporaha"
"2983","JAKAKE","Jakake","Crab","","","Jakake"
"2984","HORITA","Horita","Octopus","","","Horita"
"2985","HORITA","Horita","Octopus","","","Horita"
"2986","JAKAKE","Jakake","Crab","","","Jakake"
"2987","HORITA","Horita","Octopus","","","Horita"
"2988","HORITA","Horita","Octopus","","","Horita"
"2989","HORITA","Horita","Octopus","","","Horita"
"2990","HORITA","Horita","Octopus","","","Horita"
"2991","AMBARIAKE","Ambariake","Gerres acinaces/ strongspine silver biddy","AMBARIAKE,AMBARIAKA","GERRES ACINACES, GYMNOCRANIUS GRISEUS, GYMNOCRANIUS GRANDOCULIS, MONOTAXIS GRANDOCULIS, LETHRINUS HARAK, GERE ACINACES","AMBARIAKE,AMBARIAKA"
"2992","BABAKE","","","","",""
