"","Word_Malagasy"
"201","JOGINY/ LOGIMBATO"
"202","ANTSERADAVA "
"203","VORAMASAKY MALINIKY"
"204","ANTSERAPOHY"
"205","ANGELEKA"
"206","FIA MASIAKE"
"207","KIBOROTRATRA"
"208","ANTSORABY"
"209","SAREGEBA"
"210","VOARAMASAKE"
"211","FIAMBONDRO"
"212","LONGY"
"213","TAMPAMPANDRA"
"214","HORIITA"
"215","ANGISI"
"216","GEBA"
"217","SAROLE"
"218","TAMPAMPOROHA"
"219","ANGELIKE "
"220","FIA"
"221","ZANGA BENONO"
"222","ZANGA BOROSY"
"223","KAPILA"
"224","KIFO"
"225","ANGELIKE FOTY"
"226","AMBITSY FOTY"
"227","VOROMANDREA"
"228","MENASOFY"
"229","ALOALO"
"230","ANGIVOLA"
"231","DANGAROE"
"232","DANGARODE"
"233","HORITAN'AKORA"
"234","TSITSIKA"
"235","ARILOHA"
"236","DANGAROAKE"
"237","FIA ANKAPOAKE"
"238","KAPOAKE"
"239","TSOY MENA"
"240","SARIBEBA"
"241","ANJARAME"
"242","FIA AROTSY"
"243","BOALIMENA NA DANGARODE"
"244","TSOIDAFY"
"245","FIA MENA"
"246","TABKE"
"247","TARATAKE"
"248","LANORA KELY"
"249","AKIO FOTY"
"250","ANGY VOLA"
"251","KINIRIKE"
"252","MANGERILAVENOKE/TARATAKE"
"253","BOALY"
"254","FIANTSARA"
"255","LANORA KELY/ANAN-DANORA"
"256","MPANISY"
"257","VORAMASAE"
"258","DABANJIAKE"
"259","SORIALY"
"260","F2"
"261","F3"
"262","lamera"
"263","F1"
"264","F.valala"
"265","f.valala"
"266","Mamilaotse"
"267","F.lamatra"
"268","bozike"
"269","vary lary"
"270","benono"
"271","Naholok"
"272","tabaky"
"273","gogo"
"274","lamatra"
"275","sapiata"
"276","F.tabake"
"277","fay"
"278","L"
"279","sampiata"
"280","tsitsike"
"281","F.foty"
"282","drakake"
"283","F.voramasake"
"284","F.mainte"
"285","fay rara"
"286","F.tsoy"
"287","F.Lanora"
"288","F.savisavy"
"289","F.tsifa"
"290","H.nakora"
"291","F.gogo"
"292","F.joginy"
"293","mabolotsetaly"
"294","F.angy"
"295","F.bodoloha"
"296","gamo"
"297","F.bondro"
"298","F.antseraky"
"299","geba"
"300","F.tsabeaky"
"301","F.mandreandovoke"
"302","F.boloha"
"303","F.maliniky"
"304","F.savesavy"
"305","zanga"
"306","dakake"
"307","dorilisy"
"308","H.nakoho"
"309","H nakoho"
"310","F.be"
"311","F;be"
"312","F.tsiameareny"
"313","zanga dorolisy"
"314","F.kapitene"
"315","F.toho"
"316","F.amporama"
"317","F.ambariake"
"318","F.soroboa"
"319","F.tsiripaosa"
"320","zanga benono"
"321","F.savesave"
"322","F.lovo"
"323","Bozike"
"324","BOSIRY"
"325","MANGERILAVENOKE"
"326","O"
"327","BOTSAKA"
"328","ATSERADAVA"
"329","KAPOKE"
"330","MANGERILAVELONE"
"331","BOTOSANA"
"332","BORISY"
"333","TASOIKE"
"334","BOTOSAKE"
"335","LAMEERA"
"336","AMPOARAMA"
"337","1"
"338","TSOOIKE"
"339","JIKE"
"340","BANGARODE"
"341","LAMERA "
"342","ANTSERAPOTY"
"343","MANDRANDOVOKE"
"344","VATRITRA"
"345","LANORA "
"346","ANTSEDAVA"
"347","AMBARIAKE/DOSOLOHA"
"348","horita"
"349","TSOIKE "
"350","TSIDAFE"
"351","TSOIKE LOVIA"
"352","TABAVI"
"353","DANGAROHAKE"
"354","TSOIDAY"
"355","VORAMASALE"
"356","ONGOKE"
"357","DOSOLOHA"
"358","VOROMAMJEA"
"359","TSOIMARENE"
"360","SAPIATA"
"361","HORITANDOLO"
"362","ANGISINDOLO"
"363","AMPORA"
"364","FIANAKNGA"
"365","MAJANDOVOKE"
"366","LEMELEME"
"367","VATSITSA"
"368","HITA"
"369","LEMEMPASE"
"370","TSOIMARE"
"371","VATRITSA"
"372","JAGARODE"
"373","LEMEPASE"
"374","TOHO"
"375","ANTSERAKANTSIVA"
"376","GAMO"
"377","HORITNDOLO"
"378","BETAMPE"
"379","MALONGY"
"380","TSIOMEARENE"
"381","FIAN`AKANGA"
"382","ANTSISSY"
"383","ANGISSY"
"384","ABITSE"
"385","AMP0RAMA"
"386","ATSISY"
"387","KATSA"
"388","MARILAVA"
"389","SORANALY"
"390","FAY RARA"
"391","BABOKE"
"392","LANILANY"
"393","TSY OMEA RENE"
"394","LIONTINY"
"395","ABASISY"
"396","KATRA"
"397","TSIOKAFY"
"398","SORALY"
"399","HATSA"
"400","TSIOMARENE"
"401","VORAMSAKE"
"402","JANGARODE"
"403","H ORITA"
"404","TSOIK"
"405","ANTSERAMPOHE"
"406","ANTSORIMPASE"
"407","TSABEABATO"
"408","KARATAKE"
"409","ANGARENA"
"410","TSABEANE"
"411","ANTSERANDAVA"
"412","TARATAKY"
"413","VERAVERA SONY"
"414","ANTSERAKE MALINIKE"
"415","KAPIAKE"
"416","ANTSITSY"
"417",""
"418","zanga"
"419","horita"
"420","bozitse"
"421","lejaleja"
"422","lamera"
"423","Antsiva"
"424","Jakake"
"425","Lanilany"
"426","bozike"
"427","Takalo"
"428","soke"
"429","Angy"
"430","Babake"
"431","Lamera"
"432","Tabake"
"433","Banga"
"434","Bozitse"
"435","Fiantsifa"
"436","fiakapoake"
"437","Angarera"
"438","Zanga Foty"
"439","Gogo"
"440","Ambitsy"
"441","Fiatsifa"
"442","Lamatra"
"443","Antserake"
"444","Lemeleme"
"445","Voramasake"
"446","Malila"
"447","Zanga"
"448","Fiambonjo"
"449","Atsisy"
"450","Avorake"
"451","Tsoimena"
"452","Lentiny"
"453","Fay"
"454","Faygitara"
"455","Mahifara"
"456","Faigitara"
"457","Bozike"
"458","Lanora"
"459","Tobake"
"460","Dabandriake"
"461","Betampe"
"462","Horita"
"463","Leme"
"464","Moroy"
"465","Bodiga"
"466","Bobike"
"467","Tambake"
"468","Olovo"
"469","Beja"
"470","Fiabakobe"
"471","Ambariake"
"472","votsanja"
"473","lovo"
"474","Fay "
"475","Ampozo"
"476","Panisy"
"477","Andrarame"
"478","Leontiny"
"479","Fiakanga"
"480","Valala"
"481","Tsiodafe"
"482","Lagnilagny"
"483","Voromasaka"
"484","Tsoritso"
"485","Logy"
"486","Badiga"
"487","Tsoidafe"
"488","Tabokina"
"489","Kifalitse"
"490","Kapoake"
"491","Angisy"
"492","Tsidafe"
"493","Vontsandra"
"494","Hinta"
"495","leme"
"496","toho"
"497","tsontso"
"498","Fiankanga"
"499","Kiloka"
"500","Lamera Badiga"
"501","Ampazo"
"502","Beza"
"503","Fanigitara"
"504","Boziky"
"505","Amporama"
"506","Votrandra"
"507","Tsedafe"
"508","Fianakanga"
"509","Tabaky"
"510","Betampe "
"511","Soana"
"512","Tay"
"513","Lejaleja"
"514","Karote"
"515","Vonitsandra"
"516","Tsaikemena"
"517","Taboke"
"518","Lemera"
"519","Votsanda"
"520","Karo"
"521","Fela"
"522","Keleterake"
"523","Fiagitara"
"524","Tsotso"
"525","Menasofy"
"526","Tona"
"527","Tabaka"
"528","Fiampozy"
"529","Tsontso"
"530","Geba"
"531","Tsaraby"
"532","Soagna"
"533","Toho"
"534","Atserake"
"535","BOZIKE"
"536","JOKA"
