Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2014,NEW JERSEY,"FLOUNDER, SUMMER",7527046.00,"3,414",,Public,Recreational,,172735,MRIP
2014,NEW JERSEY,"FLOUNDER, SUMMER",1825611.00,828,4862207.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,NEW YORK,"FLOUNDER, SUMMER",832557.00,378,2996887.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,NEW YORK,"FLOUNDER, SUMMER",3995891.00,"1,813",,Public,Recreational,,172735,MRIP
2014,NORTH CAROLINA,"FLOUNDER, SUMMER",215297.00,98,,Public,Recreational,,172735,MRIP
2014,RHODE ISLAND,"FLOUNDER, SUMMER",2056036.00,933,7297977.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,RHODE ISLAND,"FLOUNDER, SUMMER",1112425.00,505,,Public,Recreational,,172735,MRIP
2014,VIRGINIA,"FLOUNDER, SUMMER",2049208.00,930,4732592.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,VIRGINIA,"FLOUNDER, SUMMER",1142397.00,518,,Public,Recreational,,172735,MRIP
2013,CONNECTICUT,"FLOUNDER, SUMMER",1808401.00,820,,Public,Recreational,,172735,MRIP
2013,CONNECTICUT,"FLOUNDER, SUMMER",284173.00,129,902474.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,DELAWARE,"FLOUNDER, SUMMER",319946.00,145,,Public,Recreational,,172735,MRIP
2013,DELAWARE,"FLOUNDER, SUMMER",,,,Confidential,Commercial,Paralichthys dentatus,172735,ACCSP
2013,MARYLAND,"FLOUNDER, SUMMER",236913.00,107,,Public,Recreational,,172735,MRIP
2013,MARYLAND,"FLOUNDER, SUMMER",193543.00,88,541353.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,MASSACHUSETTS,"FLOUNDER, SUMMER",859384.00,390,2422053.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,MASSACHUSETTS,"FLOUNDER, SUMMER",161398.00,73,,Public,Recreational,,172735,MRIP
2013,NEW JERSEY,"FLOUNDER, SUMMER",9650056.00,"4,377",,Public,Recreational,,172735,MRIP
2013,NEW JERSEY,"FLOUNDER, SUMMER",2004187.00,909,4898642.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,NEW YORK,"FLOUNDER, SUMMER",1033285.00,469,3197387.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,NEW YORK,"FLOUNDER, SUMMER",5171024.00,"2,346",,Public,Recreational,,172735,MRIP
