"","WORDS_INDATA","NAME_OTHER","LOCAL_ANIRA","SCI_NAME"
"49","FAMBITSY, FAMBITSY, , FABITSY, ABITSE,  AMBITSE, AMBITSY, AMBITSY FOTY,  AMPISY,  FIA AMBITSY, FIA AMBTSISY","","AMBITSY,AMBITSY LAVAORO","LETHRINUS OLIVACEUS, LETHRINUS NEBULOSUS<A0>, ELAGATIS BIPINNULATA<A0>, ELAGATIS BIPINNULATA"
"50","FAMBATSOY,FAMBATSOY, FTABATSOY, AMBATSOY,","","AMBATSOY,AMBATSOY VAHO,AMBATSOY VANDA","PLECTROPOMUS PUNCTATUS, ANYPERODON LEUCOGRAMMICUS"
"51","FIA ANTSISY,","","ANTSISY","LETHRINU SHARAK, LUTJANUSFULVIFLAMMA, SCOLOPSIS BIMACULATUS, LETHEINUS HARAK, LETHEINUS OBSELETUS, LETHRINUS RUBRIOPERCULATUS, LETHRINUS HARAK, LETHRINUS MICRODON, LETHRINUS OBSOLETUS, LETHRINUS ORNATUS"
"52","AMBORAMASAKY","","AMBORAMASAKE","MACOLOR NIGER"
"53","FAMBOROY, FAMBORY, FAMBORY,","","AMBORY,AMBORY FOTIHOHY,AMBORY KIOSA,AMBORY LAVATSIFA","NASO BRACHYCENTRONA, NASO BREVIROSTRIS, NASO TUBEROSUS, NASO VLAMINGII, NASO FAGENI, NASO BRACHYCENTRON, NASO HEXACANTHUS, NASO ANNULATUS, NASO BRANCHYCENTRON"
"54","FAMPORAMA, FAMPORAMA, FAMPORAMA, AMPORAMA, AMPRAMA, AMPOARAMA, AMPORA","","AMPORAMA","LUTJANUS FULVUFFLAMMA, LUTJANUS FULVUS, LUTJANUS EHRENBERGII, LUTJANUSFULVIFLAMMA, LUTJANUS MONASTIGMA, LUTJANUS FULVIFLAMMA, LUTJANUS MONOSTIGMA"
"55","FAMPOZA, FAMPOZA, FANAKAMPOZA, FAPOZA, AMOZO, MPOZO, AMPIZO, AMPOOZO, AMPOZO, FIA AMPOZO, AMPAZO,,  FIAMPOZY","","AMPOZA,AMPOZO","ACANTURUS GUTTATUS, ACANTHURUS GUTTATUS, NASO FAGENI, NASO HEXACANTHUS, NASO TUBEROSUS, NASO BRANCHYCENTRON, NASO FAGANI, NASO BREVIROSTRIS, NASO VLAMINGII, NASO ANNULATUS"
"56","FANGELIKE, FANGELIKE, FANGELIKE, FANGLIKE, ANGELEKA, ANGELEKE, ANGELIKE, ANGELIKE , ANGELIKE FOTY, FIA ANGALIKE, FIA ANGELIKE","","ANGELEKE,ANGELIKE","LETHRINUS MAHSENA, LETHRINUS MASHENA, LETHEINUS LENTJAN, LETHEINUS MAHSENA, LETHRINUS LENTJAN"
"57","FBABOKE, FBABOKE, FBE, AMBOKE,BABOKE, FIA BABOKE , FIABAKOBE","","BABOKE","PLATAX TEIRA"
"58","FBODOLOHA, FBODOLOHA, FBODOLOHA, FBODOLOHA, FBODOLOHA, FBOLOHA, FBODOLOHA, FIA BODOLOHA, F,BODOLOHA, BODOLOHA, DOSOLOHA","","BODOLOHA","CALOTOMUS SPINIDENS, CETOSCARUS BICOLOR, CHLORURUS ATRILUNULA, CHLORURUS SORDIDUS, SCARUS FRENATUS, SCARUS NIGER, SCARUS PRASIOGNATHUS, SCARUS PSITTACUS, SCARUS RUBROVIOLACEUS, SCARUS RUSSELLI, SCARUS SCABER, SCARUS TRICOLOR, HIPPOSCARUS HARID, CHLORURUS STRONGYLOCEPHALUS, PRISTOTIS OBTUSIROSTRIS, POMACENTRUS PAVO, SCARUS CAUDOFASCIATUS, CALOTOMUS CAROLINUS, SCARUS GHOBBAN<A0>, SCARUS GHOBBAN, THALASSOMA QUINQUEVITTATUM"
"59","FJOGINY, FJOGINY, FJOGINY,  JOGING NA LOGIMBATO, JOGINY LOGIMBATO, JOSINY, JOGINYLOGIMBATO, JOGINY, LOGINY, LOGY, LONGY","","LOGY","RASTRELLIGER KANAGURTA, SELAR CRUMENOPHTHALMUS"
"60","FKABO, FKABO, FKABO, KABO, FKABKABO,, KABO,   KAMBO, KABA, KABO ,","","KABO,KABO","AROTHRON MELEAGRIS, EPINEPHELUS FUSCOGUTTATUS"
"61","FKABOKABOKE,KABOKABOKE,KABOKE","","KABO KABO","AROTHRON MELEAGRIS, CHROMIS VIRIDIS"
"62","KAMBINTSOZO, KAMBY","","HAMBY","HEMIGYMNUS FASCIATUS, LEBROIDES DIMIDIATUS, LABROIDES DIMIDIATUS"
"63","FKIFALAOTSE, FKIFALAOTSE, KIFALAOTSE, KIFALATSE, KIFALITSE","","KIFALAOTSE","PLECTORHINCHUS GIBBOSUS, DIAGRAMMA PICTUM, KYPHOSUS CINERASCENS, KYPHOSUS VAIGIENSIS"
"64","KIFO","","KIFO","KYPHOSUS CINERACENS, KYPHOSUS VAIGIENSIS, KYPHOSUS CINERASCENS, RHABDOSARGUS SARBA"
"65","FLAFO, LAFO","","LAFO","PTEROIS VOLITANS, NOTOLABRU SPARLUS, PTERAGOGUS FLAGELLIFERA, NOTOLABRUS PARILUS"
"66","LAFIDAKA","","LAFENDAKA","AETHALOPERCA ROGAA"
"67","FLAMATRA, FLAMATRA, FLAMATRA, FLAMATSA, FLAMATSA, LAMATRA, LAMATSA, LAMATRA, LANATRA","","LAMATSA,LAMATRA,LAMANTRA,LAMANTRA","SCOMBEROMORUS COMMERSON, SCOBEROIDES LYSAN, SCOMBEROIDES LYSAN"
"68","FLANORA, FLANORA, FLANORA, FLLANORA, LANORA, FIA LANORA,  LANORA , LANORA KELY, LANORA KELYANANDANORA,  LONORA","","LANORA","CARANGOIDES FULVOGUTTATUS, CARANX IGNOBILIS<A0>, CARANX MELAMPYGUS, CARANX PAPUENSIS, CARANGOIDES FERDAU, CARANX IGNOBILIS"
"69","FLANILANY, FLANILANY, LANILANY, LANILAY, LAGNILAGNY,  LAGNILANGY, LANGILANGY,","","LANILANY","BOTHUS MANCUS"
"70","FLAVANIFY, FLAVANIFY, FLAVANIFY,LAVANIFY","","LAVANIFY","LETHRINUS OLIVACEUS"
"71","FLEME, FLEME, LEME,  LEME,  FIA LEME, FIALEME,  LAME , LEMA, LEME , LEME,, LEME, LEME LEME,HIMA, LEMELEME","","LEME,LEME","ANAMPSES GEOGRAPHICUS, ANAMPSES MELANURIS, ANAMPSES MELEAGRIDES, HEMALEOTRIS MAGNIFICA, PTERELEOTRIS EVIDES, GRAMMISTES SEXLINEATUS, AMPHIPRION AKALLOPISOS, AMPHIPRION LATIFASCIATUS, CROMPHOSUS CAERULEUS, EPIBILUS UNSUDIATOR, ANAMPSES CAERULLEOPUNCTATUS, ANAMPSES LINEATUS, LEBROIDES BICOLOR, PSEUDOCHEILINUS HEXATAENIA, MACROPHANYNGODON VIVINAE, CORIS CUVIERI, HALICHOCRES COSMETUS, CORIS CAUDUNACULA, LABRICHTHYS UNILNEATUS, PSEUDOCHEILNUS EVANUDUS, HALICHOERES HORTULANUS, STETHOJULIS BANDANENSIS, STETHOJULIS STRIGIVENTER, THALASSOMA HARDWICKE, CORIS CAUDIMACULA, GOMPHOSUS CAERULEUS, OXYCHEILINUS DIGRAMMUS, CHROMIS NIGRURA, OXYCHEILINUS DIGRAMMA"
"72","TAKALO","","TAKALO","OSTRACION MELEAGRIS, OSTRACION CUBICUS"
"73","AMPOZO","","AMPOZO","NASO FAGENI, NASO HEXACANTHUS, NASO TUBEROSUS, NASO BRANCHYCENTRON, NASO FAGANI, NASO BREVIROSTRIS, NASO VLAMINGII, NASO ANNULATUS"
