"","WORDS_INDATA","ENGLISH_SOPHIE","MALAGASY_SOPHIE","SOURCE","LOCAL_ANIRA","NAME_OTHER"
"130","KAPILANY","","","","",""
"131","FATERAKE","","Fia Terake?","","",""
"132","KARATAKE,","","Taratake","","",""
"133","FKELY TERAKE,KELETERAKE","","","","",""
"134","LEMEMPASE, LEMEPASE","","Lemepase?","","",""
"135","FMAINTE, FMAINTE, FMAINTE , FMAINTY, FMAITE, FMANTE, FIA MAINTY, FMAINTE","","Fia Mainte?","","",""
"136","FMANTAFAO, MANTAFAO, MATAFAO","","Fia Mantafao","","",""
"137","FMANDREDRE, FMANDRENDRE, FMANDRENDRE, MANDRENDRE","","Fia Mandredre","","",""
"138","FMANDREANDOVOKE,","","","","",""
"139","FMENA, FMENA, FMENA, FMENA , FMENA  , FMENA BEMASO, FIA MENA","Squirrelfish, Holocentrinae","Fia Mena","BV","",""
"140","FMOROY, MOROY, MOROSY, FMOROY, FMOROY, MOROY , MORAY, MOROY,  ROY","Lionfish","Fia Moroy","BV","",""
"141","BADIGA","Fish","","","",""
"142","FRARA, FRARA, FAY RARA, FAY RARA, FAY RARA, FAY RARA, RARA FAY, FIARARA, FIRARA","","Fay rara","","",""
"143","RASA FAY","","","","",""
"144","FSAKAVOTO","","","","",""
"145","F,SAVESAVE, FSAVESAVE, FSAVESAE, FSAVESAVE, FSAVESAVE, FSAVESAVE, FSAVESAVY, FSAVISAVY, FSAVISAVY, FSAVESAVE","Fish","Savisavy","","",""
"146","FAY SIFY, FAY SIFY","","","","",""
"147","FSOROBOA, FSOROBOA,  SOROBOA, SOROB OA, SOROBOA, SOROBOA, SOROBOAE","Giant or grayspotted Guitarfish/ rhynchobatus dijddensis or acroteriobatus leucospilus","Fia Soroboa","Caitlin","",""
"148","SOHABA","","","","",""
"149","TAMBOKY,, FTABOKINA, TABOKINA, TAMBOKINY, TAABOKINA,TABIKINA, TABOKONA,TOBOKINA","","","","",""
"150","FTAPAPOROHA, FTAPAPOROHA, FIA TAPAPOROHA","Thumbprint emperor/ Lethrinus harak","Fia Tapaporoha","Caitlin","",""
"151","FTARATAKE, TARATAKE, TARATAKY","Blacktip or brownspotted grouper/ Epinephelus fasciatus or hexagonatus","Fia Taratake","Caitlin","",""
"152","FTIMATIPAOSA, FTRIRIMPAOSA, FTSIRIMPAOSA, FTSIRIMPAOSA, FTSIRIMPAOSA, FTSIRIMPAOSA, FTSIRIMPAQSA, FTSIRIPAOSA, TSIRIMPAOSA","","Fia Tsiripoasa?","","",""
"153","FTOHO, FTOHO, FTOHO, FTOHO, FTONA, FTONA, FIIA TOHO, TOHO, TOHO, TONA, TOKO ,  TONGA","Duckbill sleeper or freshwater goby or speckled goby/ Butis butis or awaous aeneofuscus or redigobius bikolanus","Fia Toho","Caitlin","",""
"154","FTSAMEARENE, FTSAMEARENE, FTSAMEARENE, FTSAMEARENY, FTSIAMEARENE, FTSIAMEARENY","","Fia Tsamearene?","","",""
"155","FTSARA, FTSARA, FTSARA,  FIANTSARA","","Fia tsara","","",""
"156",", FTSARAMATSEROKE","","","","",""
"157","TSARABY","","","","",""
"158","FTSFA, FTSIFA, FTSIFA, FTSIFA, FTSIFAH, FTSIPA, FIANNTSIFA, FIATSIFA","Naso unicornis","Fiantsifa","BV","",""
"159","FTSIKAHITSE, FTSOKAHITA, FTSOKAHITE, FTSOKAHITSE, FTSOKAHITSE, TSOKAHITSE ,","Fish","","","",""
"160","LOVIA","","","","",""
