Word (MG),Word (ENG),In data examples,Source,Possible Local Name
Zanga Benono,White teatfish/ holothuria fuscogilva,"""benono"", ""BENONO "", ""zanga benono"", ""zanga BENONO"", ""Zanga benono"", ""Zanga Benono"", ""b.N Zanga"", ""B.N Zanga"", ""B.N Zanga "", ""b.N Zanga "", ""Benono"", ""Z.BENONO"", ""ZAN GA b"", ""zana benono"", ""ZANGA b"", ""zanga b.n"", ""zanga b.N"", ""Zanga b.N"", ""ZANGA b.t"", ""ZANGA BENONO"", ""ZANGA BENONOI"", ""zanga.b.N"", ""ZangaBenono"", ""zangabenono"", ""ZANG BENONO""",Caitlin,
Zanga Dorilisy,Pink/black sea cucumber or black teatfish/ holothuria edulis or notabilis,"""dorilisy"", ""DORILISY"", ""DOROLISY"", ""Zanga Dorilisy"", ""Zanga dorlisy"", ""zanga dorolisy"", ""Dorlisy"", ""dorolisy"", ""Dorlisy"", ""dorolisy"",  ""ZANGA do"", ""ZANGA DORILISY"", ""Zanga dorilisy"", ""Zanga Dorlisy"", ""zanga Dorolisy"", ""Zanga dorolisy"", ""ZangaDorlisy""",Caitlin,
,,"ZANGA BOROSY,",,
Zanga foty,Sandfish Holothuria scabra,"""ZANGA FOTITSETSAKE"", ""Zanga Foty"", ""ZANGA FOTY"", ""zanga F.TS"", ""Zanga Fotitsetsake"", ""Zanga foty"", ""zanga foty"", ""ZANGA FOTY "", ""zanga foty tsetsake"", ""Zanga totitsetsake"", “Zangafotitsetsake"", ""Zangatotitsetsake"",""ZANGA FOTITSETRAKE"",""Z.Fotitsetseke"",""Z.FOTITSETSEKE"",",Caitlin,
Zanga Trokena,Brownfish/ Actinopyga echinites,"""ZANGA TRONKENA"", ""Zanga Tsokena"", ""TRONKENA"", ""Ts.K Zanga"", ""TS.k Zanga"", ""TS-Ka Zanga"", ""tsoka"", ""Tsoken Zanga"", ""TSONKENA"", ""Z.TSOKENA"", ""Zagz tsokena"", ""Zangatsokena"", ""ZangaTsokena"",  ""zanga trokena"", ""zanga ts.k"", ""zanga TS.K"", ""zanga TSE.K"", ""Zanga tsokena"", ""zanga tsokena"", ""ZANGA TSONKENA"",  ""TSOKENA"",",Caitlin,
Zanga Trikitera,,"Zanga Trikitera, ""zanga trikitera"",",,
Zangambato,Actinopyga lecanora,"""Zangambato""",BV,
,," ""FALALIJAKY"",""zanga kalalijake"",""ZANGA FALALIJAKY"",",,
Dakaka,Herring,"""dakake"", ""Anakake """,BV,
Drakake,Crab,"""drakake"", ""Drakake"", ""drakaky""",Caitlin,
Dragon,Seahorse,"“DRAGON”, ""DRAGO"", ""Dramgo"", ""drange"", ""DRANGO"", ""Drango"", ""drango""",Caitlin,
Fia Foty,Smalltooth sand tiger or dusky shark,"“F,foty”",Caitlin,
Fay Tsifa,"Unicornfish, Naso unicornis","""F,Tsifa"", ""FIANTSIFA"", ",BV,
Fia Aloalo,"Great Barracuda, Sphyaena bararcuda","""F.aloalo"",""F.Aloalo"",""F.ALOALO"",""F.aloalo  "", ""F.aloalo be"",""F.aloalo kely"", ""ALOALO"", ""ALOALO""",Caitlin,
,," ""ONDAN-DOLO"", ""ONDANDOLO""",,
,,TOHO,,"""Toho"",""Tohompase"",""Tohompasy"""
Fia Ambariake,"Strongspine silver biddy, gerres acinaces","""F.ambariake"", ""F.Ambariake"", ""F.AMBARIAKE"", ""F.AMBRIAKE"", ""AMBARIAKE/DOSOLOHA"", ""AMBARIAKY"", ""AMBARIKE"", ""FIA AMBARIAKE""",Caitlin,"""Ambariake"",""Ambariake bemaso"""
Fia Ambitsy,"Spangled or thumbprint emperor, Lethrinus nebulosus or Lethrinus harak","  ""F.Ambitsy"", ""F.AMBITSY"", , ""F.Abitsy"", ""ABITSE"",  ""AMBITSE"", ""AMBITSY"", ""AMBITSY FOTY"",  ""AMPISY"",  ""FIA AMBITSY"", ""FIA AMBTSISY""",Caitlin,"""Ambitsy"",""Ambitsy lavaoro"""
,,"F.Ambatsoy,""F.Ambatsoy"", ""FTABATSOY"", ""AMBATSOY"", ",,"""Ambatsoy"",""Ambatsoy vaho"",,""Ambatsoy vanda"""
,,"F.Ambitsozo,",,
,,"ABASISY,""AMBASISY"", ""AMBATSISY"",",,
,,"FIA ANTSISY,",,Antsisy
"Amboramasake?
Note: from BV paper. Not sure if this is the word these inputs are trying to say",Rabbitfish/ Siganus argenteus,"""AMBORAMASAKY""",BV,Amboramasake
,,"F.Amboroy, ""F.Ambory"", ""F.AMBORY"", ",,"""Ambory"",""Ambory fotihohy"",""Ambory kiosa"",""Ambory lavatsifa"""
Fia Amporama,One-spot snapper/Lutjanus fulviflamma or Lutjanus monostigma,"""F.amporama"", ""F.Amporama"", ""F.AMPORAMA"", ""AMPORAMA"", ""AMP0RAMA"", ""AMPOARAMA"", ""AMPORA""",Caitlin,"""Amporama"""
Fia Ampoza,,"""F.Ampoza"", ""F.AMPOZA"", ""F.anak'ampoza"", ""F.Apoza"", ""AMOZO"", ""MPOZO"", AMPIZO, ""AMPOOZO"", ""AMPOZO"", ""FIA AMPOZO"", ""AMPAZO"",,  ""FIAMPOZY""",,"""Ampoza"",""Ampozo"""
Fia Angelike,Sky emperor,"""F.angelike"", ""F.Angelike"", ""F.ANGELIKE"", ""F.ANGLIKE"", ""ANGELEKA"", ""ANGELEKE"", ""ANGELIKE"", ""ANGELIKE "", ""ANGELIKE FOTY"", ""FIA ANGALIKE"", ""FIA ANGELIKE""",Caitlin,"""Angeleke"",""Angelike"""
Fia Angerera,Blackspotted rubberlip or Painted sweetlips/ Plectorhinchus gaterinus or diagramma pictum,"""f.Angerera"", ""F.Angerera"", ""F.ANGERERA"",  ""ANGARENA"", ""ANGARERA""",Caitlin,
Fia Angy,Zebra angelfish/ genicanthus caudovittatus,"""F.angy"", ""F.ANGY"", ""FIA ANGY"" ",Caitlin,
,,"ANGISIN-DOLO,",,
,,"""ANGISI"",  ""ANGISSY"",",,
Fia Antisy,No idea but these seem to go together,"""F.antisy"", ""F.antsisy"", ""F.Antsisy"", ""F.ANTSISY"", ""F.ANTSISY PETAKE"", ""F.antssy"",""ANTSISSY"", ""ANTSISY"", ""ANTSITSY"", ""ATSISY""",,
Fia Areloha,Goldsilk seabream/ acanthopagrus berda,"""F.areloha"", ""ARILOHA"" ,""ARY""",Caitlin,
,Shell," ""ANTSIVA"", ""Antsive"", ",,
Fia Baboke,Chaetodon shark," ""F.baboke"", ""F.Baboke"", ""F.be"", ""AMBOKE"",""BABOKE"", ""FIA BABOKE"" , ""FIABAKOBE""",BV,Baboke
,,"F.Babake, ""BABAKE"", ""BABAKY"",  ",,
"Fia bemaso 
",,"""f.Bemaso"", ""F.bemaso"", ""F.Bemaso Mena""",,
